,companies,link
0,google,https://www.glassdoor.com/Reviews/Google-Reviews-E9079.htm
1,facebook,-
2,deloitte,https://www.glassdoor.com/Reviews/Deloitte-Reviews-E2763.htm
3,pwc,https://www.glassdoor.com/Reviews/PwC-Reviews-E8450.htm
4,meta,https://www.glassdoor.com/Reviews/Meta-Reviews-E40772.htm
5,amazon,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036.htm
6,ey,https://www.glassdoor.com/Reviews/EY-Reviews-E2784.htm
7,kpmg,https://www.glassdoor.com/Reviews/KPMG-Reviews-E2867.htm
8,bnp paribas,https://www.glassdoor.com/Reviews/BNP-Paribas-Reviews-E10342.htm
9,cape investment,https://www.glassdoor.com/Reviews/Cape-Reviews-E10850.htm
10,hec liege,-
11,bloomberg,https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm
12,jp morgan,https://www.glassdoor.com/Reviews/J-P-Morgan-Reviews-E145.htm
13,bank of america,https://www.glassdoor.com/Reviews/Bank-of-America-Reviews-E8874.htm
14,bank of new york mellon,-
15,nvidia,-
16,intel,https://www.glassdoor.com/Reviews/Intel-Corporation-Reviews-E1519.htm
17,amd,https://www.glassdoor.com/Reviews/AMD-Reviews-E15.htm
18,hp,https://www.glassdoor.com/Reviews/HP-Inc-Reviews-E1093161.htm
19,apple,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138.htm
20,microsoft,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651.htm
21,netflix,-
22,roku,https://www.glassdoor.com/Reviews/Roku-Reviews-E26760.htm
23,brico,-
